rpa,deg,omega,sigma,u0,ustar,cost
0.1,40,3.0678906217178223,0.0251371607378468,0.9876603235435416,11.720146949492484,2.304351400635624e-15
0.1,45,3.06040715635191,0.0309866133375068,0.985195896783154,11.624734824373578,4.120008352525322e-17
0.1,50,3.054107823705832,0.0370423357533909,0.9827211138345708,11.512461423854765,6.743748949893329e-17
0.1,55,3.0491628367214325,0.0431226744077394,0.9803119795827816,11.38274281178444,1.4208552688934185e-15
0.1,60,3.045516156280452,0.0490400912802063,0.978107957341783,11.235326434789568,1.3986650438823108e-16
0.1,65,3.04365585445034,0.0545697945590508,0.976084585222844,11.06999136638082,3.567627161138784e-15
0.1,70,3.043393065114787,0.059514256444866,0.9743843341157372,10.887202560768555,4.7473788956740316e-15
0.1,75,3.044807695218976,0.0636682907678491,0.9730709318643972,10.687751700860307,6.269709598748549e-16
0.1,105,3.0873040429418515,0.0639293460085502,0.9755299547344868,9.27396089087122,1.4239987074603444e-16
0.1,110,3.098314617773076,0.0595857844363212,0.9776405973205702,9.04153655148956,2.5158378852118567e-15
0.1,115,3.109565600992604,0.0543032267872475,0.9800894294190782,8.82492998053305,1.902065269099944e-19
0.1,120,3.1206133495987025,0.0483379343188916,0.982755517189565,8.629424987004441,8.220518273132175e-17
0.1,125,3.13100702652036,0.0419751544587918,0.985510276269189,8.45902291244676,4.434977792135844e-14
0.1,130,3.14009327411664,0.0355102564806263,0.988330316858372,8.31586845173941,4.869352138562691e-15
0.1,135,3.14761792649284,0.0291968464679706,0.991073332345506,8.20050179028426,2.0913964811186803e-16
0.1,140,3.15331219432051,0.0232511008204456,0.993656413988264,8.11180253840636,2.054306996511925e-15
0.1,145,3.15696473906964,0.0178387025503256,0.99601912525898,8.04741420427331,2.4390894851481205e-15
0.1,150,3.15896018807597,0.0130689366284041,0.997992973032591,8.00458869087789,1.4695861604591764e-15
0.1,80,3.04803274705315,0.0668366779108121,0.9721898480345524,10.473005640789903,5.660164729934678e-17
0.1,85,3.076924552491824,0.0671301818526059,0.9738379460628256,9.516250880412237,0.2514392730859904
