rpa,phi_deg,F_me_un,F_me_bo,F_ad,cost
5.0,10,0.01592861182205656,0.19363050602078447,-2.3863925764184475,1.4423688732909765e-19
5.0,20,0.1637209838281165,0.8006920390244413,-9.473060974812194,4.229088589599175e-19
5.0,30,0.1759816806170643,1.7188175858785428,-21.044680361923312,1.3260350243346365e-18
5.0,40,1.4519857441434267,3.584806148931212,-36.749652938196384,4.295573778635555e-18
5.0,50,0.8512213872807909,4.739406657177132,-56.11079105900089,5.7695938137283775e-19
5.0,60,1.408627640776955,6.77405915930299,-78.53981633974482,2.6792420086203456e-18
5.0,70,6.746549805532086,13.368843399509291,-103.3552341969072,9.322204099940165e-19
3.0,10,0.0073978740974116,0.1918902820801069,-0.859101327510641,2.489660874616293e-18
3.0,20,0.0802677135146701,0.7732698559591832,-3.4103019509323897,1.0671539088866854e-12
3.0,30,0.3035593607555012,1.759699647911169,-7.576084930292392,4.330660945572867e-20
3.0,40,0.745759760340718,3.172112444050891,-13.229875057750698,2.953480745887653e-14
3.0,50,1.4412457821825853,5.030036969227322,-20.19988478124032,1.4754569429651654e-17
4.0,50,2.098299125425348,5.450949834955185,-35.91090627776057,3.991348076032317e-17
4.0,60,3.459502689827901,8.168140899333459,-50.26548245743668,1.7677076707366874e-17
3.0,60,2.380955772522661,7.343472827766139,-28.27433388230813,3.6480644783630206e-16
3.0,70,3.508479462238784,10.104571614704993,-37.20788431088658,1.0932645799448741e-15
4.0,30,0.4485465020891576,1.818908151544628,-13.46859543163092,8.622693425837224e-19
4.0,40,1.091429449110712,3.3526659399360312,-23.519777880445684,1.0384095882329777e-18
4.0,70,5.101622157727453,11.532690520556876,-66.14734988602059,3.445758848291612e-19
4.0,20,0.1205805873729435,0.7852670610502336,-6.062759023879804,4.5144856733005464e-14
4.0,10,0.011450878771279,0.1926516300541533,-1.5272912489078063,1.7451719493665182e-14
