sigma,rpa,phi_deg,z_center,cost
0.05,3.0,70,-2.890003633795594,9.752298292246708e-11
0.05,5.0,70,-3.0599705082773223,1.511315051861492e-14
0.05,3.0,69,-2.780224460541642,9.386008120896627e-11
0.05,3.0,68,-2.6702363625627683,9.056017112161014e-11
0.05,3.0,67,-2.560078752789701,8.728193073095936e-11
0.05,3.0,66,-2.449791205230701,8.402994571208902e-11
0.05,3.0,65,-2.3394119001425975,8.080984298820058e-11
