sigma,rpa,phi_deg,F_me_un,F_me_bo,F_ad,cost
0.05,2.0,10,0.0016027348987236,0.1910564247751989,-0.3818228122269516,5.0290852899019984e-11
0.05,2.0,30,0.0751499066522187,1.694852239169762,-3.3671488579077304,4.401701777608052e-05
0.05,2.0,50,0.3727768267129722,4.56903716390633,-8.977726569440144,0.000153651059527
0.05,2.0,70,0.9009567314129426,8.540441384486266,-16.53683747150515,0.0001294429405161
0.05,2.0,110,1.6666984341006543,17.99593551742078,-33.72864498593154,0.0081273625458656
0.05,2.0,130,1.1679373200169314,22.339553289112352,-41.28775588799655,0.0014654950896711
0.05,2.0,150,0.6303316315599686,25.63700384706144,-46.89833359952897,0.0242632712991288
0.05,3.0,70,1.6384526019869234,8.88046969540338,-37.2078843108866,9.752298292246708e-11
0.05,3.0,110,3.989408652621398,19.410451797989545,-75.88945121834597,0.063400139756363
0.05,3.0,130,2.400773650457912,24.459147470504952,-92.89745074799224,9.263345606552635e-11
0.05,3.0,150,2.292428387163963,28.37180015618264,-105.5212505989402,0.0955307712289262
0.05,4.0,110,4.906051698353703,21.390774590785814,-134.91457994372615,1.827674337731643e-12
0.05,4.0,130,3.998512701630826,27.42657932445459,-165.1510235519862,2.897799346679104e-13
0.05,4.0,150,1.6788085364771348,32.200514988952314,-187.59333439811587,0.0016452738933889
0.05,5.0,70,3.33291880702693,9.968560290338148,-103.35523419690722,1.511315051861492e-14
0.05,5.0,110,6.883139854842417,23.93690389580959,-210.8040311620722,1.208735889891301e-15
0.05,5.0,130,5.885551968052182,31.241848850961272,-258.0484742999785,9.07244865700196e-16
0.05,5.0,150,2.5562735190723727,37.12314834537048,-293.1145849970561,1.5262067205879027e-16
0.05,5.0,60,2.2621985974600363,7.264933011426395,-78.53981633974485,3.941264798979698e-16
0.05,3.0,60,1.1163130141613236,6.636614480708436,-28.27433388230813,6.532162580721944e-11
0.05,3.0,50,0.674341794906829,4.669254512889155,-20.199884781240325,3.8660665100342697e-11
0.05,5.0,50,1.3690521222991754,4.989950029634192,-56.11079105900091,6.44947499879105e-16
0.05,3.0,40,0.3933162424367847,3.0173523047207707,-13.2298750577507,0.005115900110018
0.05,3.0,30,0.4368486304290935,1.708949501939633,-7.576084930292395,0.0360652485140219
0.05,5.0,40,0.7079207624136694,3.154916873014211,-36.7496529381964,1.166100986800486e-16
0.05,3.0,20,0.8280998821630857,0.7629865373097113,-3.41030195093239,0.1099038659094158
0.05,5.0,30,0.2877935294735206,1.7540607428032209,-21.044680361923323,1.1490027131493e-16
0.05,3.0,10,1.4327421430429417,0.1912376981023528,-0.8591013275106413,0.2289186865572381
0.05,5.0,20,0.0759340629849846,0.7721272649981308,-9.473060974812196,1.2183748371334046e-17
0.05,5.0,10,0.006971243948748,0.1918177727492453,-2.3863925764184484,1.1125087481291293e-18
0.05,4.0,20,0.0547736330442254,0.7669856056733948,-6.062759023879805,9.387891797806508e-15
0.05,4.0,10,0.0049206112192045,0.1914914807603683,-1.5272912489078063,3.2092271662249203e-16
0.05,3.0,69,1.5841098300058765,8.645001556460436,-36.28343764829233,9.386008120896627e-11
0.05,3.0,68,1.5300735595623969,8.41185383616962,-35.36516397110519,9.056017112161014e-11
0.05,3.0,67,1.476409346710255,8.181082178345154,-34.45334299438275,8.728193073095936e-11
0.05,3.0,66,1.4231818523625046,7.952740936975474,-33.54825246762755,8.402994571208902e-11
0.05,3.0,65,1.3704541079068135,7.726883179088481,-32.65016809018183,8.080984298820058e-11
