deg,phi,Eun,rpa
10.0,0.17453292519943295,8.421669783394943,0.0833333333333333
15.0,0.2617993877991494,8.87550370508353,0.0833333333333333
20.0,0.3490658503988659,9.457900068787145,0.0833333333333333
25.0,0.4363323129985824,10.151462772628111,0.0833333333333333
30.0,0.5235987755982988,10.936778294932681,0.0833333333333333
35.0,0.6108652381980153,11.798181934712018,0.0833333333333333
40.0,0.6981317007977318,12.71533351807191,0.0833333333333333
45.0,0.7853981633974483,13.660649739341247,0.0833333333333333
50.0,0.8726646259971648,14.612180358114799,0.0833333333333333
55.0,0.9599310885968813,15.543652357204351,0.0833333333333333
60.0,1.0471975511965976,16.427786832201075,0.0833333333333333
65.0,1.1344640137963142,17.237150489477383,0.0833333333333333
70.0,1.2217304763960306,17.944922981478957,0.0833333333333333
75.0,1.3089969389957472,18.52635983626905,0.0833333333333333
80.0,1.3962634015954636,18.9569202936313,0.0833333333333333
105.0,1.8325957145940461,18.396382229028617,0.0833333333333333
110.0,1.9198621771937625,17.7494586872773,0.0833333333333333
115.0,2.007128639793479,16.964374824971024,0.0833333333333333
120.0,2.0943951023931953,16.075726361218294,0.0833333333333333
125.0,2.1816615649929116,15.118206307378436,0.0833333333333333
130.0,2.2689280275926285,14.128967356867001,0.0833333333333333
135.0,2.356194490192345,13.1431284165113,0.0833333333333333
140.0,2.443460952792061,12.192019110652437,0.0833333333333333
145.0,2.5307274153917776,11.301222201055914,0.0833333333333333
150.0,2.6179938779914944,10.490104673705801,0.0833333333333333
1.0,0.017453292519943295,7.994902453392204,0.1
2.0,0.03490658503988659,8.017608421943711,0.1
3.0,0.05235987755982988,8.049526446144691,0.1
4.0,0.06981317007977318,8.090493269100518,0.1
5.0,0.08726646259971647,8.139354439131914,0.1
6.0,0.10471975511965977,8.196738377964607,0.1
7.0,0.12217304763960307,8.262022627659961,0.1
8.0,0.13962634015954636,8.334694758394638,0.1
9.0,0.15707963267948966,8.414892086177712,0.1
10.0,0.17453292519943295,8.501961999327197,0.1
15.0,0.2617993877991494,9.03817650256078,0.1
20.0,0.3490658503988659,9.726469925812175,0.1
25.0,0.4363323129985824,10.546805960405745,0.1
30.0,0.5235987755982988,11.48083408254549,0.1
35.0,0.6108652381980153,12.505470296700768,0.1
40.0,0.6981317007977318,13.59466771059563,0.1
45.0,0.7853981633974483,14.726557275517925,0.1
50.0,0.8726646259971648,15.868243655479871,0.1
55.0,0.9599310885968813,16.989585210591624,0.1
60.0,1.0471975511965976,18.059328955587347,0.1
65.0,1.1344640137963142,19.041153719628074,0.1
70.0,1.2217304763960306,19.900067129258662,0.1
75.0,1.3089969389957472,20.61538710511876,0.1
80.0,1.3962634015954636,21.145305411045207,0.1
81.0,1.413716694115407,21.22730975632189,0.1
82.0,1.43116998663535,21.30094715179038,0.1
83.0,1.4486232791552935,21.36592673580008,0.1
84.0,1.4660765716752369,21.422195899321213,0.1
91.0,1.5882496193148399,21.561093820864933,0.1
92.0,1.605702911834783,21.543484847123924,0.1
93.0,1.6231562043547263,21.516293589061878,0.1
94.0,1.6406094968746698,21.479673490780865,0.1
95.0,1.6580627893946132,21.4335189816607,0.1
100.0,1.7453292519943295,21.061873677439532,0.1
105.0,1.8325957145940461,20.464580226901987,0.1
110.0,1.9198621771937625,19.66463240907244,0.1
115.0,2.007128639793479,18.69549360783102,0.1
120.0,2.0943951023931953,17.599680804218632,0.1
125.0,2.1816615649929116,16.4248376436173,0.1
130.0,2.2689280275926285,15.220505668282964,0.1
135.0,2.356194490192345,14.030372178436428,0.1
140.0,2.443460952792061,12.89236135931025,0.1
145.0,2.5307274153917776,11.836786319133264,0.1
150.0,2.6179938779914944,10.884098166198461,0.1
155.0,2.705260340591211,10.053707277411267,0.1
160.0,2.792526803190927,9.353592393072999,0.1
165.0,2.8797932657906435,8.792387573403126,0.1
170.0,2.9670597283903604,8.374796246406996,0.1
175.0,3.0543261909900763,8.139443914818841,0.1
2.0,0.03490658503988659,8.039293914800341,0.166666666666667
3.0,0.05235987755982988,8.091393850877035,0.166666666666667
4.0,0.06981317007977318,8.157838558372866,0.166666666666667
5.0,0.08726646259971647,8.237499286099391,0.166666666666667
6.0,0.10471975511965977,8.330668734088027,0.166666666666667
7.0,0.12217304763960307,8.436288016369456,0.166666666666667
8.0,0.13962634015954636,8.553994045592695,0.166666666666667
9.0,0.15707963267948966,8.683435084406222,0.166666666666667
10.0,0.17453292519943295,8.824431620740981,0.166666666666667
11.0,0.19198621771937624,8.976485656491183,0.166666666666667
12.0,0.20943951023931953,9.139699317816067,0.166666666666667
13.0,0.22689280275926285,9.313302261442294,0.166666666666667
14.0,0.24434609527920614,9.497176792144513,0.166666666666667
15.0,0.2617993877991494,9.691320759908985,0.166666666666667
20.0,0.3490658503988659,10.806472070401107,0.166666666666667
25.0,0.4363323129985824,12.149023120889606,0.166666666666667
30.0,0.5235987755982988,13.685172997429607,0.166666666666667
35.0,0.6108652381980153,15.3867207079478,0.166666666666667
40.0,0.6981317007977318,17.217721435548995,0.166666666666667
45.0,0.7853981633974483,19.138390761130722,0.166666666666667
50.0,0.8726646259971648,21.099213565751647,0.166666666666667
55.0,0.9599310885968813,23.050474419344198,0.166666666666667
60.0,1.0471975511965976,24.929127155575955,0.166666666666667
65.0,1.1344640137963142,26.690232386797376,0.166666666666667
70.0,1.2217304763960306,28.263866271223133,0.166666666666667
75.0,1.3089969389957472,29.588320354843994,0.166666666666667
