sigma,rpa,deg,u0,omega,psi1,u1,cost,success
0.15,2.0,20,-1.375162823141797,15.49193098336236,2.534785199352262e-07,-3.658768082794406e-07,1.0326320773844669e-13,True
0.15,2.0,40,-1.5016095160891698,15.491931314286749,8.417385107139619e-07,-1.214686044913317e-06,1.139088523648126e-12,True
0.15,2.0,60,-1.6045399293980809,15.49190824274117,1.560090383946233e-06,-2.251136617737736e-06,3.9133383467871794e-12,True
0.15,2.0,80,-1.646481684172173,15.491901095645058,2.213688269457875e-06,-3.203897068246243e-06,7.849983715612457e-12,True
0.15,2.0,100,-1.6051668769492635,15.49187479004752,-0.0007340631611129,-0.0004913547136223,0.1314183042193536,True
0.15,2.0,120,-1.5399301328899824,15.021496736800618,-0.0001595911719443,-0.0001095848343534,1.1405945768711283,True
0.15,2.0,140,-1.1578422842318676,15.329420524902211,1.5492783120450103e-06,-2.242380391475997e-06,3.856568493594735e-12,True
0.15,2.0,160,-1.1578409670707248,15.491924317408866,3.46488738756858,-1.9408036619436944,7.892866038425762,True
0.15,3.0,0,-7.0451505601166595e-40,2.5819888974716103,-6.484407823365348e-32,-3.3314826348402725e-32,2.465190328815662e-32,True
0.15,3.0,20,-0.9646518881492596,23.23789980786034,-6.2988642295598315e-09,-7.1386464622604645e-09,2.9078121270905686e-05,True
0.15,3.0,40,-1.1150071277703326,23.23028859341365,4.147354204507101e-09,-5.979735884900126e-09,3.802956511688441e-17,True
0.15,3.0,140,-0.741196385700865,21.963146991598137,-2.118134534640391e-07,-1.840707674238e-07,3.003093093954164e-08,True
0.15,3.0,160,-0.6780850266652728,22.900993617330457,-3.68581642337894e-06,-2.506558225691969e-06,5.594327278227163e-05,True
0.15,4.0,0,-7.0451505601166595e-40,2.5819888974716103,-6.484407823365348e-32,-3.3314826348402725e-32,2.465190328815662e-32,True
0.15,4.0,20,-0.7644807161456951,17.027568453815935,1.482965309968896e-07,-2.089897239003706e-07,3.513820453091244e-14,True
0.15,4.0,40,-0.9311109523280072,23.990358738208176,2.2314127891502718e-09,-4.819637782472254e-09,2.11001767914555e-17,True
0.15,4.0,60,-1.0773776069316414,28.83310657514688,3.0598300395874883e-09,1.6585139202820671e-09,2.8194153501279614e-19,True
0.15,4.0,80,-1.0774121422283625,29.492203843548065,-9.223400214106896e-09,4.893636236662985e-08,5.199445740543692,True
0.15,4.0,100,-1.1039934784753045,30.98385338179854,7.814177965129031e-05,5.4033695134544425e-05,15.18080116018851,True
0.15,4.0,120,-1.0299333679671672,30.16712246552733,3.056094175189897e-09,1.7966510382012355e-09,6.571328049974699e-19,True
