sigma,rpa,phi_deg,z_center,cost
0.1,4.0,70,-2.141614608033202,7.689927474927954e-12
0.1,4.0,60,-0.9613841892869974,2.5354729560117223e-11
0.1,5.0,70,-2.0325036764307987,9.19304419608494e-19
