sigma,rpa,phi_deg,F_me_un,F_me_bo,F_ad,cost
0.1,5.0,120,1847.5254569478748,36.521014597981335,-235.61944901923445,0.3732024492770699
0.1,5.0,125,2943.6658372309016,39.22172477167027,-247.17680861512267,11.9285115611617
0.1,5.0,130,2766.282519558584,41.83981975792426,-258.0484742999784,6.805615077692359
0.1,5.0,135,2872.638267435983,44.34031628703354,-268.1517061334488,11.868284216012714
0.1,5.0,140,2721.9563981743854,46.68865421783828,-277.40961242078293,1.0569794752510913
0.1,5.0,145,2458.1851407806184,48.85143142798768,-285.7517349050576,9.459736547484392
0.1,5.0,150,2512.968040911681,50.79712989097646,-293.11458499705606,2.54039204941012
0.1,5.0,155,2845.063757691504,52.49681307664318,-299.44212696176777,12.003658336378042
0.1,5.0,160,2801.433858637058,53.92477546569516,-304.6862043841671,4.1244822822121385
0.1,5.0,165,1481.5503415572805,55.05912619130153,-308.80690666860903,38.98643178295031
0.1,5.0,170,2805.286717457,55.88229057649065,-311.7728727825609,11.679421987133146
0.1,5.0,175,3.0246071178742846,56.38141557352884,-313.56152993299617,0.1280210876732383
0.1,2.0,110,2.826747978246124,19.12754854187579,-33.728644985931545,1.1309445745869811e-09
0.1,2.0,130,2.1603470683254864,24.03522863422643,-41.28775588799656,2.8903203158491603e-10
0.1,2.0,150,0.8643506806593155,27.8248408943584,-46.898333599528975,4.2100397296910825e-11
0.1,3.0,30,0.2285393705077045,1.734324574925401,-7.576084930292393,3.954986543712003e-15
0.1,3.0,50,1.096014819924931,4.849645741058239,-20.19988478124032,2.0533098936369305e-14
0.1,3.0,110,5.372536675532859,21.95658110301332,-75.88945121834597,2.045871013729576e-13
0.1,3.0,130,4.874300236642045,28.274416997011627,-92.89745074799224,0.0040820466812917
0.1,3.0,150,1.8704719797644465,33.29443351260079,-105.52125059894018,2.0757960775847123e-14
0.1,4.0,10,0.0084273070032658,0.1920715554072608,-1.5272912489078068,3.422707507013785e-20
0.1,4.0,30,0.3411680964407491,1.7737969106810405,-13.468595431630924,2.211710815855717e-16
0.1,4.0,50,1.612828313646221,5.130254318210147,-35.910906277760574,6.940301461172713e-18
0.1,4.0,70,3.925301511164671,10.444599925622107,-66.14734988602062,7.689927474927954e-12
0.1,4.0,110,8.248153124331917,25.91722668860585,-134.91457994372618,6.114857658335542e-16
0.1,4.0,130,7.250247939728269,34.20928070491091,-165.15102355198624,1.9573469193633388e-17
0.1,4.0,150,3.231645950602132,40.95186317814015,-187.5933343981159,6.059137432930393e-18
0.1,5.0,10,0.0118055872406992,0.1927241393850149,-2.3863925764184475,6.560269832376738e-20
0.1,5.0,30,0.4608890726216326,1.8245470566525763,-21.044680361923312,4.9410653952618416e-17
0.1,5.0,50,2.153754100613521,5.491036774548314,-56.11079105900089,1.6837174865596258e-17
0.1,5.0,70,5.235726227503949,11.668701844923719,-103.35523419690719,9.19304419608494e-19
0.1,5.0,110,11.302551209025909,31.0094852986534,-210.8040311620721,8.690257836188449e-18
0.1,4.0,60,2.6629898130727385,7.539822368615501,-50.26548245743669,2.5354729560117223e-11
