rpa,deg,u0,omega,psi1,u1,cost,success
5.0,10,-0.2046646991650215,107.38475533546644,1.647200125262151e-09,-7.751943965576704e-09,3.298148081830484e-17,True
5.0,30,-0.2235749773859648,145.9832062371038,6.409918119258058e-10,-6.29107631727393e-10,1.3260350243346365e-18,True
5.0,50,-0.2427359705750053,151.3893600954236,6.03058486836101e-10,-7.9107740852234e-10,5.7695938137283775e-19,True
5.0,70,-0.2550999340388324,163.39086453154496,-1.3730193621192857e-06,-1.4990909348122254e-07,9.68943021454813e-13,True
5.0,20,-0.2134585106996119,170.44129243719163,1.2379201834388236e-11,-2.4061151523828696e-11,7.829791947204246e-18,True
5.0,40,-0.2336420161849752,76.10983683514112,4.0044910862191283e-07,-3.7059398334707592e-06,7.037453394382791e-12,True
5.0,60,-0.2501176195054982,146.3580312153206,1.829620876048597e-09,-1.7709694478096195e-09,2.6792420086203456e-18,True
