5 10 0.011806286738037 0.192724139385015 -2.38639257641845 0.1
5 20 0.12404513674152 0.786409652011286 -9.47306097481219 0.1
5 30 0.460892150950602 1.82454705665258 -21.0446803619233 0.1
5 40 1.12070087705608 3.36986151097271 -36.7496529381964 0.1
5 50 2.15375454768115 5.49103677454831 -56.1107910590009 0.1
5 60 3.55036460747559 8.2466807156732 -78.5398163397448 0.1
5 70 5.23572882009251 11.6687018449237 -103.355234196907 0.1


5 10 0.0040465396042442 0.191364589431361 -2.38639257641845 2.50E-02
5 20 0.0455640790076742 0.764986071491553 -9.47306097481219 2.50E-02
5 30 0.175981680617064 1.71881758587854 -21.0446803619233 2.50E-02
5 40 0.437673597318094 3.04744455403496 -36.7496529381964 2.50E-02
5 50 0.851221387280791 4.73940665717713 -56.1107910590009 2.50E-02
5 60 1.40862764077696 6.77405915930299 -78.5398163397448 2.50E-02
5 70 2.0706456977178 9.11848951304536 -103.355234196907 2.50E-02
