rpa,deg,u0,omega,cost,success,psi1,u1
5.0,65,-0.347159293446568,85.9155898172323,4.8684157951059445e-14,True,-7.395135069472084e-08,-1.6556360078927895e-08
5.0,75,-0.3626046500198073,79.73190899264668,2.7106230431975143e-14,True,6.358614923901174e-08,1.1832370698521966e-08
5.0,115,-0.343262558066591,98.4276114858023,3.168869358424852e-15,True,2.391229978776177e-09,4.70095706384467e-10
5.0,125,-0.3002938276665317,90.80628185986492,6.439588854412031e-14,True,-9.890305909169705e-08,-2.182824249747704e-08
5.0,135,-0.2280624828785153,96.96148021847368,3.5515513953450853e-19,True,1.974185895366252e-09,3.8393371840808327e-10
5.0,145,-0.141944039869568,78.3358673807753,7.072341220374306e-05,True,-9.277169946857871e-10,-2.3672780967380206e-09
5.0,155,-0.1183416487325311,49.54535499268529,1.858492159823134e-09,True,1.7733825603031457e-07,-7.256541803816759e-07
5.0,165,-0.1457580702168405,68.95177635186471,4.6157386132932215e-06,True,-8.772739412728761e-09,-4.8929272870133235e-09
5.0,175,-0.1886843303738405,20.121653110689262,1.8268321643693537e-05,True,-2.50347008323408e-05,-8.036117231970304e-06
4.0,170,-0.2385694901381571,126.49068223283004,45.73461654837112,True,3.64207342270708,-0.4478887580095524
5.0,170,-0.1452441887618735,11.499064447597718,0.0001628521921831,True,-0.0017066112838412,0.0007956051912081
3.0,77,-0.4602365592179155,71.14236684773326,9.187566458102175e-17,True,5.807076789889429e-09,-8.739088358061731e-09
3.0,79,-0.4610072813476277,82.13994379345336,1.2196795828386705e-13,True,3.250487718293491e-07,6.998224112359886e-08
3.0,81,-0.4614774031703988,88.14746872576933,2.097974744432257e-13,True,2.857709798049953e-07,6.21379996666604e-08
3.0,83,-0.4616322118042068,91.88289783811057,5.009801059635907e-12,True,-3.0575507041418205e-06,-6.680695304989447e-07
3.0,85,-0.4614568228902763,93.7532488479679,9.82818064859279e-16,True,2.435891146408542e-09,4.5112968309749407e-10
3.0,87,-0.4609321697688366,76.75464669462613,5.098210636978167e-17,True,8.278326186179841e-10,-2.94276988874468e-09
3.0,93,-0.4571579816432843,79.806953528004,1.317491010272307e-14,True,-2.5227903767531632e-09,-2.1901457750812674e-09
